home,score,away,year
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Equatorial Guinea,Match 13,Guinea-Bissau,2023
Ivory Coast,Match 14,Nigeria,2023
Egypt,Match 15,Ghana,2023
Cape Verde,Match 16,Mozambique,2023
Senegal,Match 17,Cameroon,2023
Guinea,Match 18,Gambia,2023
Algeria,Match 19,Burkina Faso,2023
Mauritania,Match 20,Angola,2023
Tunisia,Match 21,Mali,2023
South Africa,Match 22,Namibia,2023
Morocco,Match 23,DR Congo,2023
Zambia,Match 24,Tanzania,2023
Equatorial Guinea,Match 25,Ivory Coast,2023
Guinea-Bissau,Match 26,Nigeria,2023
Cape Verde,Match 27,Egypt,2023
Mozambique,Match 28,Ghana,2023
Ghana,Match 29,Cameroon,2023
Guinea,Match 30,Senegal,2023
Angola,Match 31,Burkina Faso,2023
Mauritania,Match 32,Algeria,2023
Namibia,Match 33,Mali,2023
South Africa,Match 34,Tunisia,2023
Tanzania,Match 35,DR Congo,2023
Zambia,Match 36,Morocco,2023
Winner Group D,Match 37,3rd Group B/E/F,2023
Runner-up Group A,Match 38,Runner-up Group C,2023
Winner Group A,Match 39,3rd Group C/D/E,2023
Runner-up Group B,Match 40,Runner-up Group F,2023
Winner Group B,Match 41,3rd Group A/C/D,2023
Winner Group C,Match 42,3rd Group A/B/F,2023
Winner Group E,Match 43,Runner-up Group D,2023
Winner Group F,Match 44,Runner-up Group E,2023
Winner Match 40,Match 45,Winner Match 39,2023
Winner Match 38,Match 46,Winner Match 37,2023
Winner Match 43,Match 47,Winner Match 42,2023
Winner Match 41,Match 48,Winner Match 44,2023
Winner Match 45,Match 49,Winner Match 48,2023
Winner Match 47,Match 50,Winner Match 46,2023
Loser Match 49,Match 51,Loser Match 50,2023
Winner Match 49,Match 52,Winner Match 50,2023
